62500,0,0,0,48662,12717,1096,25,4184,33200,12120,12996,1
49252,9130,3090,1028,35679,13778,6535,6508,19525,13516,12611,16848,1
18996,38663,4840,1,20441,34414,7260,385,19861,30540,7957,4142,1
59455,1514,904,627,54384,4358,1981,1777,34582,19935,3704,4279,1
21064,32321,7899,1216,15253,29875,13662,3710,11713,18546,16466,15775,1
48718,13092,661,29,28622,27418,5886,574,16694,24066,12231,9509,1
17367,15083,22471,7579,6092,26439,24097,5872,6514,27102,23970,4914,1
36286,22353,3399,462,36104,17187,8530,679,29958,15077,10037,7428,1
56456,4362,1301,381,37633,16143,5814,2910,27561,11359,9810,13770,1
62112,388,0,0,29539,29174,3660,127,9109,8305,11363,33723,1
53919,8230,350,1,41712,12443,5585,2760,13528,14599,12062,22311,1
59999,1832,473,196,48253,10782,2558,907,18607,20937,12821,10135,1
36551,12689,5655,7605,26144,17222,8560,10574,792,19221,17579,24908,1
28924,21701,7749,4126,23692,29415,5227,4166,17770,24610,10649,9471,1
58524,3538,401,37,39504,18519,3446,1031,25199,13258,12366,11677,1
18772,30018,13352,358,13942,29730,17335,1493,9438,11383,31734,9945,1
61259,742,358,141,55833,5164,848,655,10532,23191,21685,7092,1
32284,28659,1209,348,31071,28455,1427,1547,21441,34454,2668,3937,1
14896,29083,18172,349,11720,15152,19864,15764,6803,11138,13956,30603,1
41410,21052,38,0,27586,32935,1969,10,11305,19224,16862,15109,1
32935,28332,1178,55,36786,24105,1439,170,35984,23589,2171,756,1
14381,26935,18686,2498,9211,27698,21633,3958,6182,26984,20605,8729,1
12262,34681,13287,2270,2897,33207,22474,3922,3187,30145,21754,7414,1
25404,37096,0,0,10902,50134,1459,5,9510,30121,10931,11938,1
23737,18333,12866,7564,10432,26547,14606,10915,3405,26482,15620,16993,1
9281,44341,8836,42,23013,23716,11651,4120,3270,15590,19380,24260,1
1535,41964,19001,0,18,24007,38472,3,1,12201,48361,1937,1
60589,1646,246,19,23210,31900,6204,1186,4157,8464,10425,39454,1
