37161,17416,7529,388,6,0,0,0,3949,11695,24381,14265,4077,2111,1455,567,3184,4524,4633,12345,14878,4688,4797,13451,1
0,0,51,37016,22864,2569,0,0,0,0,11,50658,8931,2893,7,0,0,0,622,45683,11059,3779,747,610,1
44011,8240,4297,2395,2514,898,134,11,16499,14603,15908,9967,3920,1173,221,209,9880,4558,4949,10518,11649,9873,5938,5135,1
61906,347,102,62,33,24,16,10,40586,16549,4043,748,273,110,103,88,8161,6958,3974,6394,18122,10283,5841,2767,1
22285,4786,4018,3482,2642,2809,3783,18695,1638,3321,3759,6769,6501,5506,6076,28930,0,0,645,1877,1923,2954,6439,48662,1
62010,283,89,54,29,24,11,0,43956,11260,4754,1737,325,154,121,193,3149,18517,15643,4792,3232,4369,3974,8824,1
53484,5060,1306,964,896,528,221,41,14602,12182,13066,8704,3774,3198,2858,4116,5605,4073,2237,4014,5437,10042,12402,18690,1
37018,22076,2633,408,220,129,16,0,30609,25381,2294,1911,1029,677,447,152,17552,22990,10755,2048,1680,1323,1311,4841,1
57821,3416,976,225,61,1,0,0,41926,6606,4924,3437,2133,1571,1115,788,24692,6478,4655,4253,3990,4369,4732,9331,1
14628,18469,20104,8036,1219,43,1,0,7007,12887,17292,11368,7973,4480,1395,98,3600,7596,10488,8347,7557,7550,7720,9642,1
58923,2207,564,296,160,126,104,120,10338,31131,7019,6649,4844,1642,453,424,0,761,4235,10568,15167,10696,6658,14415,1
22758,19600,7779,4044,3316,5003,0,0,18651,17601,10535,6064,5698,3838,104,9,15004,11911,10067,8071,8366,4676,1778,2627,1
8800,49999,3353,323,24,1,0,0,7,19366,32398,5693,2126,1367,903,640,0,807,14250,15314,9274,7812,7758,7285,1
12888,24543,12178,6911,4900,984,96,0,5194,8287,20335,19195,6728,2667,94,0,2461,4005,6122,20358,21816,6050,916,772,1
1608,59692,1166,34,0,0,0,0,16240,44644,1489,127,0,0,0,0,28624,25552,3666,1921,1179,910,489,159,1
14737,23366,21955,2388,51,3,0,0,2017,11840,27559,11809,5536,2876,853,10,1679,7411,6745,10591,13029,4950,4147,13948,1
61873,433,154,34,6,0,0,0,47676,13983,455,223,120,41,2,0,9319,29223,15183,4754,2055,1237,532,197,1
8811,29241,23322,1125,1,0,0,0,1080,20139,19576,18402,2266,844,190,3,854,11515,14921,11955,13621,2727,1592,5315,1
33,1131,9775,17747,21653,12161,0,0,0,4235,3532,11074,24180,19479,0,0,865,5557,2051,1514,10597,26345,12881,2690,1
46380,7653,4764,1533,946,846,349,29,38886,11611,5745,2080,1109,922,812,1335,36271,10072,5082,2930,1919,1691,1544,2991,1
58836,2446,713,260,105,66,44,30,29989,18131,8402,3597,1421,534,186,240,9363,22433,12984,7138,4171,2816,1737,1858,1
56582,4851,841,196,30,0,0,0,6041,13015,14301,12611,10001,4850,1419,262,100,3240,4458,11191,12931,12337,9559,8684,1
61582,554,76,82,65,77,48,16,39894,17085,1916,1515,927,475,303,385,20940,24052,6583,2785,2453,1240,1093,3354,1
34329,22329,4077,936,467,245,103,14,8338,34090,14652,3428,1080,477,271,164,5539,24143,17996,8101,3566,1631,829,695,1
1241,22006,31049,6156,1006,520,362,160,945,18007,32423,7242,2392,804,368,319,531,14443,25064,12133,5122,2649,1447,1111,1
