51431,4599,2336,1299,753,567,420,309,253,182,151,95,51,47,7,0,39998,7054,3737,2765,2407,1438,1131,944,787,654,480,372,295,207,143,88,17364,11224,7379,4838,3639,2757,2490,2218,1923,1949,1852,1519,1142,832,693,681,1
3070,4304,7583,11071,10855,8294,5424,3721,2704,1877,1299,904,609,430,251,104,550,1436,3453,6160,8632,10003,9506,7584,5474,4014,2273,1380,838,620,476,101,430,1359,2961,4353,4903,4861,4701,5370,5637,5037,3995,3364,2678,3081,4148,5622,1
3800,3329,5334,8289,9762,7267,5226,3906,3322,2508,2144,2480,2633,1639,443,418,194,817,2126,4970,9272,11284,8668,6287,4313,3174,2722,2706,2702,2268,452,545,57,257,814,2188,5455,9374,9622,7409,5129,3844,3541,3513,3323,2968,1788,3218,1
2134,9130,17321,15007,8547,3835,1932,1026,706,610,562,509,343,324,325,189,64,1153,6982,15818,15153,8465,4298,2223,1318,947,660,637,620,685,947,2530,14,450,2292,4409,8137,8946,7697,6282,4824,3832,3164,2654,2052,1848,1593,4306,1
19142,10292,9469,9622,4893,2821,1841,1227,941,693,572,460,354,149,21,3,8541,8241,5220,6431,6544,5083,5261,3266,2925,3335,2827,1761,1147,798,585,535,1040,4255,4788,5215,3641,4041,3468,3083,3050,2591,2836,3586,3187,3179,4366,10174,1
231,609,1515,4541,31595,16535,6278,871,221,73,23,8,0,0,0,0,19,135,973,27829,16617,5532,5783,2502,974,796,462,235,141,150,150,202,0,46,4603,16727,11316,6446,4270,4094,2417,2303,2191,1632,1460,945,1099,2951,1
73,143,390,1292,3962,9583,13662,14954,12246,4333,1788,71,3,0,0,0,1,101,752,2049,6245,12886,15171,10407,8290,3746,1270,1577,5,0,0,0,405,651,1023,1557,2588,4260,9658,12661,9344,8383,3320,2456,2896,1291,1147,860,1
1332,7748,3865,6534,9129,9810,11151,11730,1061,60,37,21,15,7,0,0,3,245,3545,6221,6605,8132,10976,11660,11664,2055,953,280,71,45,26,19,0,0,10,352,2031,3615,4171,6186,5393,4924,4888,5126,6545,7442,6043,5774,1
3,23,355,2657,8645,13788,16683,15947,4304,93,2,0,0,0,0,0,0,0,192,1674,6758,10359,14628,12578,11596,3068,635,425,289,258,40,0,0,0,163,226,2443,7860,7942,7994,6544,6397,5012,4171,4331,3932,3244,2241,1
2813,4500,8529,12341,11918,11796,6318,3159,1084,41,1,0,0,0,0,0,1488,3388,7426,8311,9987,11691,7579,5134,2635,1866,1280,1048,556,109,2,0,839,2452,5847,6657,6224,8545,7331,4989,2310,1842,1711,1705,1777,2065,2607,5599,1
45896,9432,4208,1708,642,266,117,71,52,38,26,19,10,9,6,0,12363,9056,7266,6246,5420,4382,4107,3647,3866,2868,2289,481,231,112,93,73,0,0,0,421,3609,6545,5974,5418,4749,4654,4517,4161,3848,3552,3689,11363,1
58500,2777,794,265,84,32,22,13,10,3,0,0,0,0,0,0,721,2977,3191,4512,4701,6040,11827,16022,5835,3384,2910,306,48,18,7,1,0,0,0,0,17,1058,1943,2124,1705,2286,2904,2669,2044,2126,3179,40445,1
16292,37878,2760,1302,845,729,447,330,279,288,262,230,205,233,332,88,3290,30674,9293,4551,2245,1888,1776,1257,955,744,593,529,519,661,3306,219,327,11915,7597,12042,7845,4922,2946,1817,1336,1197,1111,1103,895,1090,4836,1521,1
16937,33562,4697,2143,977,705,553,473,402,391,365,348,370,311,214,52,2957,25225,7155,4290,3472,4597,3110,1646,1521,1375,958,760,736,750,3735,213,134,9992,7476,9256,5480,3889,3226,2399,2599,3286,2042,1402,1183,1675,6628,1833,1
54241,3459,1137,593,389,324,264,229,220,251,227,249,265,281,225,146,913,11628,15314,6511,4121,3038,2997,2821,3135,2521,2280,1593,1308,1127,876,2317,0,40,337,2434,3115,2694,3214,4859,5972,5831,3570,2965,2614,2731,3780,18344,1
49391,10454,1435,477,295,187,114,70,50,21,6,0,0,0,0,0,4339,20397,7900,7181,7239,5580,3008,2799,1492,726,734,534,284,153,92,42,1257,13078,6948,4418,3822,3725,3873,3440,3488,2884,2075,2650,2657,1963,2664,3558,1
31153,14699,7247,4394,1509,793,432,288,184,142,135,121,129,141,196,937,25061,13556,5392,2686,1851,2044,2133,1876,1158,1127,1133,784,659,663,487,1890,1478,11109,8766,6899,4987,4298,3529,2569,1952,1725,1613,1711,1507,2063,1659,6635,1
60515,996,309,170,112,80,52,58,42,35,28,17,16,22,27,21,9829,5281,5180,5112,6101,5714,4894,4390,4772,3799,2267,1795,1562,936,440,428,2804,1898,1104,559,504,828,1244,3335,2692,2916,3353,3944,5804,5266,6416,19833,1
22956,18280,10719,5927,2438,1115,583,280,127,62,11,1,1,0,0,0,4521,18460,15714,8338,6794,4455,1818,1080,693,387,172,52,15,1,0,0,1496,13132,15618,8723,5871,5225,4306,2837,1749,1082,767,564,391,303,190,246,1
34701,11367,5148,3053,2290,1866,1590,1444,747,209,68,17,0,0,0,0,8001,12404,8414,5669,3935,3547,3208,2652,2275,1973,2206,2251,1644,1327,1258,1736,0,105,1176,3451,5113,5991,5337,4175,3472,3254,2668,2569,2648,3334,5399,13808,1
59797,2411,265,26,1,0,0,0,0,0,0,0,0,0,0,0,0,2686,26073,14369,9357,4330,2607,1698,916,365,93,6,0,0,0,0,0,0,0,0,415,8289,11816,6704,4915,3872,4279,3346,2425,2216,2902,11321,1
48426,6588,3212,1617,820,545,339,253,194,130,92,94,85,82,22,1,12868,11802,14295,11114,4553,2645,1850,1097,623,445,307,235,183,131,143,209,1788,1840,2085,1841,2718,3765,3632,3116,4159,5023,5408,6644,6064,4794,3715,5908,1
17506,15501,13543,7736,4800,1679,789,541,218,118,50,14,5,0,0,0,7129,12184,11712,5989,7559,3126,2284,2137,2070,2048,1735,1398,1112,829,596,592,1470,3515,10331,6763,4395,4998,3956,3104,2912,2320,1831,1776,1660,1819,2843,8807,1
37750,12237,4736,2707,1720,1217,812,569,381,225,95,42,7,2,0,0,16778,15539,8249,4727,3069,2243,1759,1413,1227,1139,1117,1079,1025,1086,1015,1035,1667,4347,6567,7363,6822,5378,4184,3008,2604,2358,2215,2154,2249,2348,2718,6518,1
24585,13955,7396,5322,4394,3734,1953,815,187,108,38,10,3,0,0,0,4322,7429,8217,7007,5916,4467,4544,3983,3750,3427,2524,1873,1700,1378,1217,746,325,769,1821,4139,5528,4982,5162,4254,3822,3329,4007,3027,3095,3600,4399,10241,1
